Sphere size (um),Visibility,Epsilon,Particle fraction,Number of spheres
2,0.9304733303241329,72.06186497191433,0.009993588839285715,2852
3,0.9211666161580816,82.11435120803435,0.009991737834821428,1267
4,0.9203607486811551,82.98956766558427,0.009995448325892857,713
5,0.9240307971004794,79.00987770056747,0.009997247767857143,460
6,0.922998378685249,80.1278010515221,0.009969412053571429,316
7,0.9216418172603204,81.59861543848372,0.009961995870535714,232
8,0.9236926475856942,79.37589515792318,0.009984786830357143,178
9,0.9321976093775274,70.21045954203542,0.009939078125,140
10,0.9258918406979743,76.99785385989613,0.009952009151785714,114
11,0.9222517716606157,80.9370214872832,0.009969004241071429,94
12,0.9267735010020028,76.04607875973065,0.009971043191964285,79
13,0.9280660200777341,74.65240640128718,0.00992474140625,67
14,0.9306248689762647,71.8990163349927,0.009964069866071429,58
15,0.9364694315974141,65.63839874400566,0.0098344921875,50
16,0.9428449656670959,58.85341530790038,0.009873251339285714,44
17,0.942111559883771,59.631582666555644,0.009879226674107143,39
18,0.9408779245178286,60.94187733645286,0.00993964453125,35
19,0.9428793962075626,58.81689826313324,0.009788488727678572,31
20,0.9385948106418052,63.37140446535314,0.009797328125,28
21,0.9411325547904813,60.671283440185086,0.009663719308035714,25
22,0.9396148445228154,62.28522755375006,0.009757649888392858,23
23,0.9384928358868401,63.48005656292993,0.00973753359375,21
24,0.9401842603435094,61.67940128578792,0.009592822209821428,19
25,0.9421368295469347,59.60476065804882,0.0098452546875,18
26,0.9434378032980685,58.22483759914304,0.009480558928571428,16
27,0.943499487506143,58.15945735741789,0.009585048549107142,15
28,0.9430758755968837,58.608537658860854,0.0096210265625,14
29,0.9425347420565197,59.1824987409139,0.009583334486607142,13
30,0.9428555534447951,58.84218576472313,0.009454013839285715,12
