energy,particle fraction,wavelength,corr_length,delta_n_squared,prefactor
10,0.01,1.2398419738620932e-10,3.0996049346552328e-06,7.501435740103175e-12,447.8566911498571
10,0.05,1.2398419738620932e-10,3.0996049346552328e-06,7.501435740103175e-12,2239.283455749286
10,0.1,1.2398419738620932e-10,3.0996049346552328e-06,7.501435740103175e-12,4478.566911498572
20,0.01,6.199209869310466e-11,1.5498024673276164e-06,4.603345378549836e-13,54.96651843421537
20,0.05,6.199209869310466e-11,1.5498024673276164e-06,4.603345378549836e-13,274.8325921710769
20,0.1,6.199209869310466e-11,1.5498024673276164e-06,4.603345378549836e-13,549.6651843421538
30,0.01,4.13280657954031e-11,1.0332016448850774e-06,9.046732145973418e-14,16.20345623820131
30,0.05,4.13280657954031e-11,1.0332016448850774e-06,9.046732145973418e-14,81.01728119100655
30,0.1,4.13280657954031e-11,1.0332016448850774e-06,9.046732145973418e-14,162.0345623820131
40,0.01,3.099604934655233e-11,7.749012336638082e-07,2.8563456954409124e-14,6.821273026983018
40,0.05,3.099604934655233e-11,7.749012336638082e-07,2.8563456954409124e-14,34.106365134915094
40,0.1,3.099604934655233e-11,7.749012336638082e-07,2.8563456954409124e-14,68.21273026983019

